iter	MAPE
0	0.00122980578
1	0.001209758057
2	0.001190525948
3	0.001171942731
4	0.001153408949
5	0.001135682709
6	0.001118800109
7	0.001102452442
8	0.0010842332
9	0.001067153112
10	0.001051869394
11	0.001035718096
12	0.001020062357
13	0.001004958564
14	0.0009902098077
15	0.0009773272636
16	0.00096259243
17	0.0009492910376
18	0.0009360137366
19	0.000923078072
20	0.00091092519
21	0.0008987633182
22	0.0008873324541
23	0.0008758172767
24	0.0008652056188
25	0.0008539877375
26	0.0008438374009
27	0.0008336237981
28	0.0008232450848
29	0.0008139140084
30	0.0008048956606
31	0.0007962406325
32	0.0007880087709
33	0.0007797307626
34	0.0007715109865
35	0.0007636133921
36	0.0007560782113
37	0.0007486468887
38	0.0007415128029
39	0.0007346784645
40	0.0007279633881
41	0.0007216410539
42	0.0007149161102
43	0.0007083973196
44	0.0007025980005
45	0.0006968978846
46	0.0006912985195
47	0.0006859153985
48	0.000680682155
49	0.0006758111703
50	0.0006702469728
51	0.0006650894239
52	0.000660390739
53	0.0006558202754
54	0.0006514129182
55	0.0006465737481
56	0.0006424976622
57	0.0006384715374
58	0.0006345533964
59	0.0006306415715
60	0.0006266154903
61	0.0006228010675
62	0.0006193949281
63	0.0006160987103
64	0.0006128842831
65	0.0006096851506
66	0.0006063111842
67	0.00060292226
68	0.0005992544999
69	0.0005957420961
70	0.0005923111981
71	0.0005883909104
72	0.0005845874353
73	0.0005816346398
74	0.0005793097157
75	0.000576827911
76	0.0005741031211
77	0.00057189513
78	0.0005696999398
79	0.0005672064436
80	0.0005652133557
81	0.0005630746232
82	0.0005600645604
83	0.0005579778205
84	0.0005553010795
85	0.0005534315097
86	0.000550900146
87	0.0005486785679
88	0.0005462887625
89	0.0005439436081
90	0.0005414930734
91	0.0005394648979
92	0.0005378503346
93	0.0005365109638
94	0.0005342764838
95	0.0005319868589
96	0.0005298810085
97	0.0005280529206
98	0.0005264025163
99	0.0005247231874
